datetime,temperature_2m,relative_humidity_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,aqi_change_rate,aqi_lag_1h,aqi_lag_24h,aqi_rolling_mean_6h,aqi_rolling_std_6h,pm25_rolling_mean_6h
2025-11-06 22:00:00,17.2,63.445644,988.347,0.0,0.0,5.2323985,296.56497,47.8,49.6,1814.0,58.4,12.3,44.0,95.96697,22,6,11,3,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,-0.0013913403031166,95.927666,111.55209,96.394126,0.5503340078063884,39.11666666666667
2025-11-06 23:00:00,16.65,62.687298,988.39594,0.0,0.0,6.7853074,291.80148,48.9,50.8,1695.0,52.7,11.5,46.0,96.100624,23,6,11,3,0,-0.25881904510252157,0.9659258262890681,-0.8660254037844386,0.5000000000000001,0.0004097253434973,95.96697,111.64584,96.18972166666668,0.3096601511512054,42.5
2025-11-07 00:00:00,16.3,59.71611,988.07275,0.0,0.0,6.9527545,291.25058,48.7,50.8,1412.0,46.3,10.6,50.0,96.43868,0,7,11,4,0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0013927082002579,96.100624,111.614586,96.13731166666666,0.2037185464578613,44.96666666666667
2025-11-07 01:00:00,15.7,59.571087,987.72766,0.0,0.0,6.8423676,296.56497,48.3,50.6,1050.0,39.2,9.7,55.0,96.96541,1,7,11,4,0,0.25881904510252074,0.9659258262890683,-0.8660254037844386,0.5000000000000001,0.0035177291338162,96.43868,111.385414,96.243445,0.3972586868835062,46.68333333333334
2025-11-07 02:00:00,15.05,61.26718,987.76715,0.0,0.0,6.792466,302.00534,48.4,50.8,818.0,34.3,9.1,57.0,97.64151,2,7,11,4,0,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.0054618120590397,96.96541,111.02083,96.50681,0.6773952776295571,47.86666666666667
2025-11-07 03:00:00,14.35,63.660442,987.70496,0.0,0.0,6.391901,302.3474,49.0,51.3,748.0,32.9,8.8,55.0,98.529884,3,7,11,4,0,0.7071067811865475,0.7071067811865476,-0.8660254037844386,0.5000000000000001,0.0069725887847439,97.64151,110.58333,96.940513,0.9922855127697474,48.51666666666666
2025-11-07 04:00:00,13.5,66.811874,987.33655,0.0,0.0,6.2405767,303.23172,50.6,52.9,808.0,33.8,8.7,49.0,99.709114,4,7,11,4,0,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.0090983221072346,98.529884,109.98957,97.56420366666669,1.3643004018542202,48.98333333333333
2025-11-07 05:00:00,13.15,72.17792,987.6946,0.0,0.0,6.361415,295.1148,56.5,58.6,1107.0,38.1,9.2,42.0,101.64583,5,7,11,4,0,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,0.0119682459010866,99.709114,109.22916,98.48840466666668,1.93387182028072,50.25
2025-11-07 06:00:00,12.8,73.847946,987.9554,0.0,0.0,4.991553,295.64096,62.9,65.0,1909.0,44.0,9.7,34.0,104.708336,6,7,11,4,0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0.0194236587616596,101.64583,107.812485,99.86668066666668,2.8909378158505747,52.61666666666667
2025-11-07 07:00:00,12.95,75.13515,988.55316,0.0,0.0,2.9024127,299.74478,73.1,75.4,2950.0,51.7,10.5,24.0,108.28126,7,7,11,4,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.0301291818730604,104.708336,106.41664,101.75265566666668,4.070232694761803,56.75
2025-11-07 08:00:00,14.95,67.345024,989.21985,0.0,0.0,3.4388947,317.1211,74.3,76.1,3551.0,54.0,11.7,28.0,112.46874,8,7,11,4,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,0.0341226285820616,108.28126,105.17707,104.22386066666668,5.368906607158842,61.06666666666667
2025-11-07 09:00:00,17.5,62.25448,990.1273,0.0,0.0,0.9,306.86996,67.5,69.2,3335.0,46.2,13.6,57.0,116.520836,9,7,11,4,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0.038672246825328,112.46874,104.23957,107.22235266666668,6.464894387469498,64.15
2025-11-07 10:00:00,20.2,52.94606,990.3617,0.0,0.0,1.2074767,243.43501,48.7,49.9,2680.0,33.0,15.8,99.0,120.30208,10,7,11,4,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.0360286390664073,116.520836,103.15626,110.65451366666667,7.112333432541335,63.833333333333336
2025-11-07 11:00:00,23.2,41.77723,990.61743,0.0,0.0,3.319036,282.5288,27.9,28.9,2033.0,22.0,17.3,133.0,122.56249,11,7,11,4,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,0.032451223363071,120.30208,101.85416,114.14062366666668,6.9376101884555785,59.06666666666666
2025-11-07 12:00:00,25.15,31.800034,990.001,0.0,0.0,4.8733153,274.23633,20.5,21.5,1441.0,14.2,17.4,153.0,122.614586,12,7,11,4,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0.0187894491276086,122.56249,100.65625,117.12499866666668,5.831864158073072,52.0
2025-11-07 13:00:00,26.05,26.908112,989.2952,0.0,0.0,5.9427266,271.73566,18.7,20.0,859.0,8.6,16.8,165.0,121.770836,13,7,11,4,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,0.0004250566037736,122.614586,99.72484,119.37326133333332,4.076694214793167,42.93333333333334
2025-11-07 14:00:00,26.35,25.355843,988.8326,0.0,0.0,6.12,270.0,18.0,19.4,598.0,8.8,16.1,165.0,120.82291,14,7,11,4,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,-0.0068813177837326,121.770836,99.08805,120.765623,2.2757073166006188,33.55
2025-11-07 15:00:00,26.0,26.340057,988.41345,0.0,0.0,6.66,270.0,17.4,18.6,873.0,17.9,15.3,149.0,120.031235,15,7,11,4,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,-0.0077845069746826,120.82291,98.42767,121.3506895,1.1279637544526109,25.200000000000003
2025-11-07 16:00:00,24.55,36.7462,988.19556,0.0,0.0,4.5,270.0,17.9,18.9,1470.0,32.9,14.4,122.0,119.34374,16,7,11,4,0,-0.8660254037844384,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,-0.0065523577811229,120.031235,97.80661,121.19096616666668,1.3517918707838292,20.066666666666663
